Q,R1,R2,R3,R4,R5,R6,R7,R8
0,28215,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,32401,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,26941,32690,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,36892,0,0,0,0,0,0,0
9,50019,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,32816,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,19719,0,0,0,0,0,0
14,37947,14477,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,225626,49151,0,0,0,0,0,0
17,154019,0,0,0,0,0,0,0
18,86331,17322,0,0,0,0,0,0
19,203142,0,66265,0,0,0,0,0
20,107544,48876,46856,0,0,0,0,0
21,185590,43653,35824,0,0,0,0,0
22,252036,161298,221131,0,0,0,0,0
23,255620,175407,183260,0,0,0,0,0
24,319000,125165,138960,0,0,0,0,0
25,233512,172549,126357,0,0,0,0,0
26,318958,374014,116761,32384,50118,0,49700,0
27,589841,110060,233651.37,77656,132168,0,14552,0
28,563755,289472,140748,91970,46630,0,138930,0
29,339922,307575,324143,71580,148950,0,13969,0
30,445313,164050,150791,216500,104420,173180,73676,0
31,429158,316172,575330,324204,53120,162520,87284,0
32,284437,319162,298976,616771,82777,140820,77871,101508
33,371660,306950,554559,254171,78640,147180,286363,135416
34,539443,1028183,1025482,492177,64790,0,37050,103360
